SiO2 Na2O CaO Al2O3 B2O3 MgO PbO P2O5 Li2O K2O TiO2 BaO ZnO
45.65 0.0 22.82 0.0 0.0 22.82 0.0 0.0 0.0 0.0 8.55 0.0 0.0
44.48 0.0 22.23 0.0 0.0 22.23 0.0 0.0 0.0 0.0 10.9 0.0 0.0
68.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.3 0.0 0.0 0.0 0.0
40.07 15.07 14.86 14.93 0.0 0.0 0.0 0.0 0.0 14.83 0.0 0.0 0.0
50.12 10.05 14.94 14.74 0.0 0.0 0.0 0.0 0.0 9.95 0.0 0.0 0.0
60.07 9.83 10.03 9.89 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0
70.66 0.0 0.0 14.9 0.0 3.96 0.0 0.0 10.48 0.0 0.0 0.0 0.0
75.02 0.0 0.0 3.01 0.0 0.0 0.0 0.0 19.98 1.99 0.0 0.0 0.0
62.54 14.98 11.64 4.36 0.0 0.0 0.0 0.0 0.0 4.96 0.0 0.0 0.0
57.14 0.0 25.05 10.98 6.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.93 3.52 0.0 0.0 14.55 0.0 0.0 0.0 0.95 0.0 2.05 0.0 0.0
78.73 3.87 0.0 0.0 14.46 0.0 0.0 0.0 0.0 0.87 2.07 0.0 0.0
78.94 3.64 0.0 0.0 14.36 0.0 0.0 0.0 0.0 0.0 2.04 0.0 0.0
78.7 3.74 0.0 0.0 14.62 0.0 0.0 0.0 0.88 0.0 0.0 0.0 0.0
78.92 3.59 0.0 0.0 14.6 0.0 0.0 0.0 0.0 0.86 0.0 0.0 0.0
75.72 6.62 1.02 5.12 10.52 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
80.77 0.0 1.11 3.19 9.85 0.0 0.0 0.0 0.0 4.65 0.0 0.43 0.0
79.22 6.81 1.13 1.87 9.49 0.0 0.0 0.0 0.0 0.0 0.0 0.44 0.0
77.35 5.37 2.45 2.99 10.47 0.0 0.0 0.0 0.0 1.37 0.0 0.0 0.0
67.46 0.0 0.0 12.81 7.85 4.96 0.0 0.0 0.0 0.0 0.0 4.81 0.0
67.5 7.43 5.91 8.04 2.43 3.13 0.0 0.0 0.0 4.75 0.0 0.81 0.0
67.41 5.05 5.69 6.11 4.15 8.61 0.0 0.0 0.0 0.0 0.0 0.0 2.98
63.19 4.98 7.18 6.41 5.32 9.48 0.0 0.0 0.0 0.0 0.0 0.0 3.44
50.5 10.34 9.83 0.0 19.15 0.0 0.0 0.0 0.0 10.18 0.0 0.0 0.0
51.07 10.0 0.0 0.0 18.94 0.0 0.0 0.0 0.0 9.63 0.0 10.36 0.0
52.19 10.25 0.0 0.0 18.2 0.0 0.0 0.0 0.0 8.81 0.0 0.0 10.55
45.05 8.28 0.0 0.0 16.17 0.0 0.0 0.0 0.0 8.07 0.0 0.0 22.43
50.17 9.97 0.0 0.0 19.72 0.0 0.0 0.0 0.0 9.68 10.46 0.0 0.0
52.45 10.42 0.0 10.61 18.46 0.0 0.0 0.0 0.0 8.06 0.0 0.0 0.0
51.29 10.25 0.0 0.0 19.32 4.54 0.0 0.0 0.0 9.27 0.0 0.0 5.33
51.51 10.2 0.0 5.16 18.83 4.88 0.0 0.0 0.0 9.42 0.0 0.0 0.0
26.38 0.0 0.0 4.07 11.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 57.91
25.72 0.0 8.08 3.99 11.71 0.0 0.0 0.0 0.0 0.0 0.0 0.0 50.5
25.8 0.0 0.0 4.06 11.4 7.34 0.0 0.0 0.0 0.0 0.0 0.0 51.4
25.59 0.0 0.0 3.98 11.97 0.0 0.0 0.0 0.0 0.0 0.0 7.88 50.58
45.92 4.62 43.89 0.27 0.0 0.0 0.0 5.04 0.0 0.0 0.0 0.0 0.0
44.88 4.35 40.11 0.0 0.0 4.63 0.0 4.88 0.0 0.0 0.0 0.0 0.0
45.16 4.51 34.82 0.0 0.0 9.39 0.0 4.59 0.0 0.0 0.0 0.0 0.0
46.13 23.74 27.06 0.0 0.0 0.0 0.0 3.07 0.0 0.0 0.0 0.0 0.0
31.19 24.03 27.91 0.0 13.82 0.0 0.0 3.05 0.0 0.0 0.0 0.0 0.0
53.37 20.41 23.15 0.0 0.0 0.0 0.0 3.07 0.0 0.0 0.0 0.0 0.0
63.77 0.0 0.0 9.89 0.0 5.33 0.0 0.0 19.88 0.0 0.0 0.0 0.0
63.2 10.72 0.0 9.86 0.0 5.17 0.0 0.0 9.91 0.0 0.0 0.0 0.0
79.0 6.87 1.13 3.14 9.44 0.0 0.0 0.0 0.0 0.0 0.0 0.42 0.0
68.42 0.0 3.63 12.09 7.19 4.58 0.0 0.0 0.0 0.0 0.0 4.09 0.0
66.02 0.0 0.0 9.87 0.0 0.0 0.0 0.0 24.11 0.0 0.0 0.0 0.0
63.94 0.0 0.0 7.46 0.0 0.0 0.0 0.0 28.6 0.0 0.0 0.0 0.0
60.61 0.1 0.0 25.01 0.0 0.0 0.0 0.0 14.18 0.0 0.0 0.0 0.0
65.94 0.0 0.01 15.68 0.0 0.0 0.0 0.0 0.0 18.3 0.0 0.0 0.0
59.29 15.95 0.01 24.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.008706
