SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO
65.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 10.0
50.0 0.0 0.0 0.0 0.0 0.0 31.25 0.0 0.0 0.0 0.0 0.0 18.75
65.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 5.0
60.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 10.0
55.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 15.0
60.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 5.0
55.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 10.0
50.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 15.0
70.0 7.1 0.0 0.0 0.0 0.0 0.0 22.9 0.0 0.0 0.0 0.0 0.0
75.0 10.5 0.0 0.0 0.0 0.0 0.0 14.5 0.0 0.0 0.0 0.0 0.0
57.0 10.6 0.0 0.0 0.0 0.0 0.0 32.4 0.0 0.0 0.0 0.0 0.0
78.0 11.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0
77.5 11.0 0.0 0.0 0.0 0.0 0.0 11.5 0.0 0.0 0.0 0.0 0.0
76.2 11.0 0.0 0.0 0.0 0.0 0.0 12.8 0.0 0.0 0.0 0.0 0.0
71.8 11.0 0.0 0.0 0.0 0.0 0.0 17.2 0.0 0.0 0.0 0.0 0.0
65.5 11.0 0.0 0.0 0.0 0.0 0.0 23.5 0.0 0.0 0.0 0.0 0.0
65.0 11.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0
61.7 11.0 0.0 0.0 0.0 0.0 0.0 27.3 0.0 0.0 0.0 0.0 0.0
59.4 11.0 0.0 0.0 0.0 0.0 0.0 29.6 0.0 0.0 0.0 0.0 0.0
