SiO2 Al2O3 Na2O CaO B2O3 MgO K2O Li2O P2O5 PbO
64.05 7.62 0.04 28.09 0.0 0.0 0.0 0.0 0.0 0.0
62.25 7.93 0.05 25.41 0.0 4.17 0.0 0.0 0.0 0.0
65.15 6.57 0.0 20.1 0.0 8.18 0.0 0.0 0.0 0.0
65.3 7.39 0.0 14.47 0.0 12.84 0.0 0.0 0.0 0.0
64.53 7.65 0.0 10.14 0.0 17.68 0.0 0.0 0.0 0.0
63.56 8.39 0.09 5.11 0.0 22.73 0.0 0.0 0.0 0.0
67.79 8.47 0.19 0.01 0.0 23.39 0.0 0.0 0.0 0.0
63.12 7.59 10.09 14.78 0.0 4.23 0.0 0.0 0.0 0.0
62.54 7.04 0.11 15.2 0.0 4.4 10.54 0.0 0.0 0.0
63.86 7.17 5.19 14.26 0.0 4.5 5.02 0.0 0.0 0.0
62.16 17.82 10.1 0.0 0.0 0.0 9.78 0.0 0.0 0.0
51.38 10.21 15.52 0.0 0.0 7.52 15.37 0.0 0.0 0.0
49.9 10.04 15.14 9.91 0.0 0.0 15.01 0.0 0.0 0.0
49.99 14.74 15.87 0.0 0.0 4.27 15.13 0.0 0.0 0.0
50.02 15.17 15.12 4.83 0.0 0.0 14.86 0.0 0.0 0.0
59.85 10.26 14.97 0.0 0.0 0.0 14.92 0.0 0.0 0.0
69.99 9.98 10.23 0.0 0.0 0.0 9.8 0.0 0.0 0.0
78.92 0.0 3.83 0.0 14.38 0.0 0.0 0.0 0.0 0.0
74.27 3.18 7.15 1.16 13.77 0.0 0.03 0.0 0.0 0.0
78.49 1.86 6.67 2.24 9.2 0.0 0.0 0.0 0.0 0.0
79.19 3.1 5.14 1.14 9.78 0.0 1.27 0.0 0.0 0.0
60.15 0.0 9.64 5.83 14.29 4.97 5.12 0.0 0.0 0.0
68.53 6.69 0.0 6.58 5.17 6.63 3.46 0.0 0.0 0.0
59.89 0.0 18.56 21.43 0.0 0.12 0.0 0.0 0.0 0.0
50.0 0.0 22.44 22.09 0.0 2.71 0.0 0.0 2.76 0.0
48.68 0.0 22.12 17.79 0.0 8.56 0.0 0.0 2.85 0.0
48.28 0.0 23.13 11.79 0.0 13.83 0.0 0.0 2.97 0.0
50.13 0.0 20.23 24.2 0.0 0.14 0.0 0.0 2.59 0.0
56.0 9.0 12.0 10.0 3.0 10.0 0.0 0.0 0.0 0.0
58.0 8.0 7.0 10.0 4.0 9.0 4.0 0.0 0.0 0.0
57.0 9.5 6.0 11.0 4.0 6.5 4.5 0.0 0.0 0.0
45.0 25.0 0.0 0.0 10.0 10.0 0.0 10.0 0.0 0.0
57.02 10.97 6.99 10.95 3.99 6.58 3.5 0.0 0.0 0.0
56.9 12.03 7.05 10.47 4.03 5.99 3.53 0.0 0.0 0.0
57.06 9.48 6.01 10.95 4.03 6.48 4.51 0.0 0.0 0.0
57.0 9.49 5.24 9.45 4.0 6.57 5.27 0.0 0.0 0.0
66.07 6.83 5.92 6.77 2.36 7.08 4.97 0.0 0.0 0.0
64.05 7.17 5.95 6.35 4.37 5.46 5.15 0.0 0.0 0.0
63.97 7.0 7.12 2.32 4.66 7.25 5.17 0.0 0.0 0.0
69.6 0.0 21.7 0.0 8.7 0.0 0.0 0.0 0.0 0.0
57.0 0.0 24.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0
42.0 0.0 26.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0
73.0 0.0 14.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0
68.88 0.0 0.0 0.0 0.0 0.0 14.64 0.0 0.0 16.48
64.25 0.0 0.0 0.0 0.0 0.0 6.11 0.0 0.0 29.64
62.38 0.0 0.0 0.0 0.0 0.0 5.93 0.0 0.0 28.78
62.38 0.0 0.0 0.0 0.0 0.0 5.93 0.0 0.0 28.78
62.38 0.0 0.0 0.0 0.0 0.0 5.93 0.0 0.0 28.78
53.12 0.0 0.0 0.0 0.0 0.0 16.19 0.0 0.0 29.7
52.09 0.0 0.0 0.0 0.0 0.0 15.87 0.0 0.0 29.13
29.66 0.0 0.0 0.0 0.0 0.0 7.24 0.0 0.0 60.19
30.25 0.0 0.0 0.0 0.0 0.0 7.37 0.0 0.0 61.39
30.25 0.0 0.0 0.0 0.0 0.0 7.37 0.0 0.0 61.39
53.12 0.0 0.0 0.0 0.0 0.0 16.19 0.0 0.0 29.7
30.25 0.0 0.0 0.0 0.0 0.0 7.37 0.0 0.0 61.39
71.7 1.1 12.2 8.8 0.0 5.6 0.6 0.0 0.0 0.0
78.6 2.0 13.3 1.0 0.0 4.0 1.1 0.0 0.0 0.0
71.25 1.12 13.25 8.44 0.0 5.94 0.0 0.0 0.0 0.0
79.81 0.0 13.0 0.0 7.19 0.0 0.0 0.0 0.0 0.0
82.84 0.0 9.03 0.0 8.13 0.0 0.0 0.0 0.0 0.0
