SiO2 Al2O3 CaO Na2O MgO B2O3 Li2O GeO2 K2O P2O5 BaO
65.0 20.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
65.0 22.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0
63.0 5.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0
63.0 20.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0
62.0 21.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0
61.0 20.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0
57.0 14.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0
45.0 30.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0
66.6 0.3 16.15 0.0 0.0 0.0 16.95 0.0 0.0 0.0 0.0
65.0 12.5 0.0 18.0 0.0 4.5 0.0 0.0 0.0 0.0 0.0
70.5 0.0 11.0 18.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.5 0.0 17.5 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.7 0.0 9.5 15.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.12 0.0 10.63 13.33 5.56 0.0 0.0 0.0 0.0 0.0 0.0
82.7 0.0 0.0 17.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
59.57 15.04 0.0 0.0 22.83 0.0 0.0 0.0 0.0 0.0 0.0
2.5 0.0 48.75 0.0 0.0 0.0 0.0 0.0 0.0 48.75 0.0
76.24 0.68 9.44 13.31 0.0 0.0 0.0 0.0 0.33 0.0 0.0
75.71 22.31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 18.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.5 0.3 16.2 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0
68.7 0.7 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 15.6
64.8 0.3 0.0 19.0 15.9 0.0 0.0 0.0 0.0 0.0 0.0
66.1 0.4 16.8 16.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.91 0.35 0.0 0.0 0.0 0.0 0.0 0.0 18.75 0.0 0.0
66.7 0.2 16.85 0.0 0.0 0.0 0.0 0.0 16.25 0.0 0.0
68.1 0.7 0.0 0.0 0.0 0.0 0.0 0.0 16.1 0.0 15.1
71.89 0.99 10.21 13.29 2.51 0.0 0.0 0.0 1.01 0.0 0.08
82.85 1.4 0.0 3.52 0.0 11.44 0.0 0.0 0.79 0.0 0.0
95.3 0.0 0.0 0.0 0.0 4.38 0.0 0.0 0.32 0.0 0.0
69.24 2.31 5.92 17.35 4.34 0.0 0.0 0.0 0.84 0.0 0.0
72.27 2.26 0.0 0.41 0.0 17.41 1.93 0.0 5.72 0.0 0.0
78.23 2.46 1.68 5.97 0.0 10.44 0.0 0.0 1.06 0.0 0.16
76.27 3.36 0.0 7.72 0.0 0.0 1.37 0.0 6.03 0.0 5.22
52.0 0.0 0.0 16.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0
